,quote,author,categories
5883,타고난 재능에도 불구하고 불행한 삶을 살았던 사람은 결국에는 일어서는 법이다. 운좋은 바보는 살아가면서 행운의 덕을 볼 수 있지만 오랜 세월이 경과하게 되면 운이 별로 없는 바보의 상태와 서서히 비슷하게 된다.,나심 니콜라스 탈레브,"재능, 운luck, 사람, 삶"
5884,역사는 전에 한 번도 일어난 적이 없는 일이 일어나는 법이라고 가르쳐 준다.,나심 니콜라스 탈레브,역사
5885,당신이 일에 쏟아붓는 시간이 중요한 게 아니다. 중요한 것은 당신이 시간을 쏟아붓는 일 그 자체다.,샘 유잉,일(work)
5886,물론 성공에 공식이 있는 것은 아니지만 예외가 있으니 바로 인생과 인생이 가져다 주는 것을 무조건적으로 받아들이는 것이다.,아르투르 루빈스타인,성공
5887,사람은 남자든 여자든 세상의 골칫거리가 되지 않기 위해서는 직업을 가져야 한다.,도로시 세이어즈,"직업, 일(work)"
5888,훌륭한 평판을 받는 법은 자신이 드러내고자 하는 모습이 되도록 노력하는 것이다.,소크라테스,평판
5889,"전통을 사랑하는 마음이 국가를 약하게 만든 적은 없었으며 오히려 어려운 시기에는 국가를 강하게 만들었다. 그러나 새로운 시각은 반드시 등장해야 하고, 세계는 진보해야 한다.",윈스턴 처칠,"국가, 전통"
5890,오늘날 사람은 죽음을 제외한 모든 것으로부터 살아남을 수 있고 좋은 평판을 제외한 모든 것이 없어도 살아갈 수 있다.,오스카 와일드,사람
5891,은밀한 생각에 솔직한 표정이면 이 세상 어디서나 무사히 지낼 것이다.,시피오네 알베르티,"생각, 표정"
5892,"우리는 항상 젊음을 위해 미래를 개발할 수는 없지만, 미래를 위해 우리의 젊음을 개발할 수는 있다.",프랭클린 D. 루스벨트,"젊음, 미래, 인생살이"
5893,그대의 미덕을 부끄러워하지 말라. 명예는 언제나 모자에 달 만한 훌륭한 장식이니까.,벤 존슨,"미덕, 명예"
5894,떨어져 있으면 그리움은 더해진다.,프로페르티우스,그리움
5895,늘 명심하라. 성공하겠다는 너 자신의 결심이 다른 어떤 것보다 중요하다는 것을.,에이브러햄 링컨,"성공, 결심"
5896,우리는 인내하도록 만들어졌다. 그것이 우리가 누구인지 알 수 있는 방법이다.,토비아스 울프,인내
5897,음악은 야만인의 가슴을 어루만져 주는 희한한 힘이 있다.,윌리엄 콩그리브,음악
5898,뛰어난 영혼일수록 크게 고민한다.,사카구치 안고,"고민, 사람"
5899,"재능을 한 가지 더 가진것이, 한 가지 모자란 것보다 위험하다.",니체,재능
5900,'졌습니다' 하고 머리를 숙이는 것이 게임을 끝내는 옳은 방법입니다. 괴로운 순간이지요. 하지만 '졌습니다' 하고 확실히 말할 수 있는 사람은 프로에서도 강해집니다. 이것을 어물쩍 넘기는 사람은 결코 위로 올라가지 못합니다.,다니가와 고지,패배
5901,"청춘의 특권이란, 한 마디로 말해 무지에서 오는 특권이다.",미시마 유키오,청춘
5902,"변혁이라는 것은, 하나가 일어나면 반드시 다음 변혁을 부르게 되어 있는 법이다.",마키아벨리,변혁
5903,"나쁜 짓을 하는 것보다 나쁜 일을 겪는 것이 낫고, 가끔 속는 것이 믿지 않는 것보다 행복하다.",사무엘 존슨,"믿음, 악행, 인생살이, 행복"
5904,과오를 범하고 고치지 않는 자는 또 다른 과오를 범하고 있는 것이니라.,공자,과오
5905,"모든 시대에는, 시정해야 할 새로운 오류와 저항해야 할 새로운 편견이 존재한다.",사무엘 존슨,"시대, 편견"
5906,나는 정반대의 편집증 환자이다. 나는 모든 사람이 나를 행복하게 만들 음모를 꾸미고 있다고 의심한다.,J. D. 샐린저,"편집증, 행복"
5907,시간은 예전의 우리를 앗아가는 무자비한 도둑이다. 우리는 죽음만큼이나 삶 때문에 많은 것을 잃는다.,엘리자베스 포사이스 헤일리,"시간, 삶"
5908,낱말 하나가 삶의 모든 무게와 고통에서 우리를 해방시킨다. 그 말은 사랑이다.,소포클레스,"사랑, 고통"
5909,노인이 젊은이에게 얘기하듯이 망자도 산자에게 이야기하려고 노력한다면 좋을텐데.,윌라 카서,"망자, 죽음"
5910,인격이 나무라면 평판은 그 그림자와 같다. 우리가 나무에 대해 생각하는 바가 그림자라면 나무는 실제 모습인 것이다.,에이브러햄 링컨,"인격, 평판"
5911,신은 평범한 사람들을 좋아한다. 그것이 바로 그 분께서 보통 사람들을 이렇게 많이 창조하신 이유다.,에이브러햄 링컨,"신(lord), 신(god), 사람"
5912,명분을 해치는 가장 비열한 방법은 일부러 잘못된 주장으로 명분을 옹호하는 것이다.,프리드리히 니체,명분
5913,쉽게 화 내고 싶지 않다면 그런 습관을 키우지 말라. 화를 돋울 만한 일을 하지 말라.,에픽테토스,화(anger)
5914,우리는 행운을 믿어야 한다. 안 그러면 어떻게 우리가 좋아하지 않는 이들의 성공을 설명할 수 있나?,장 콕토,행운
5915,"사람의 천성은 서로 비슷하지만, 습성으로 서로가 멀어지느니라.",공자,"사람, 천성"
5916,돈에 관해 자식을 교육시키는 가장 손쉬운 방법은 그 부모가 돈이 없는 것이다.,캐서린 화이트혼,"돈(money), 자식, 부모"
5917,우리는 어떻게든 진정한 자아를 찾고 그 결정에 따라 살아가는 것 같다.,엘리노어 루즈벨트,"자아, 인생살이"
5918,좋은 아이디어가 저절로 채택되지는 않는다. 용기있게 인내심을 가지고 밀어붙여 실행되도록 해야한다.,하이먼 리코버,아이디어
5919,가장 중요하게 고려해야 할 두 가지는 신뢰와 믿음이다. 독선에 빠지지 않도록 해야 한다.,제임스 딘,"신뢰, 믿음"
5920,나는 토지를 소유하고 그것을 망치지 않는 것이 모두가 소유하고 싶어하는 가장 아름다운 예술이라고 생각한다.,앤디 워홀,"예술, 토지"
5921,계산된 위험은 감수하라. 이는 단순히 무모한 것과는 완전히 다른 것이다.,조지 S. 패튼,위험
5922,내 수입보다 훨씬 더 많이 쓰며 살다 보니 돈과는 별거하고 있다고 말해도 되겠다.,E. E. 커밍스,"과소비, 돈"
5923,적어도 1년간은 누구나 천재이다.,리히텐베르크,"천재, 생각"
5924,패션이란 참을 수 없이 추해서 6개월 마다 바꿔줘야 한다.,오스카 와일드,패션(fashion)
5925,세월이 인내심을 길러준다는 사실은 참으로 알 수 없는 일이다. 살 날이 줄어들수록 더 오래 기다릴 수 있게 되다니.,엘리자베스 테일러,"인내심, 세월"
5926,"저는 이 시대의 흐름에 맞추기 위해 양심을 잘라낼 수도 없고, 잘라내지도 않을 것입니다.",릴리안 헬만,양심
5927,"제비 한 마리가 왔다고 여름이 온 것은 아니요, 날씨가 하루 좋았다고 여름이 온 것은 아니다.","이와 마찬가지로, 하루 또는 짧은 시간의 행복이 그 사람을 완전히 행복하게 하는 것은 아니다.",행복
5928,돈의 최고 가치는 바로 우리가 돈의 가치가 과대 평가된 세상에서 살고 있다는 사실에 있다.,헨리 루이스 멩켄,돈(money)
5929,궁금증을 풀고 싶다면 어느 주제에 대한 것이든 호기심이 발동하는 그 순간을 잡아라. 그 순간을 흘려보낸다면 그 욕구는 다시 돌아오지 않을 수 있고 당신은 무지한 채로 남게 될 것이다.,윌리엄 워트,"궁금증, 배움"
5930,눈이 먼 것보다 더 안 좋은 게 있을까? 있다. 볼 수는 있지만 비전이 없는 사람.,헬렌 켈러,"비전(vision), 장님"
5931,그는 내가 만난 사람 중에 알맹이 없는 아이디어를 가장 장황하게 설명하는 사람이다.,에이브러햄 링컨,아이디어(idea)
5932,나이가 들수록 해보지 않았던 것에 대해서만 후회한다는 것을 발견하게 될 것이다.,재커리 스코트,"나이, 후회"
5933,"비관론자는 모든 기회에서 어려움을 찾아내고, 낙관론자는 모든 어려움에서 기회를 찾아낸다.",윈스턴 처칠,"비관론자, 낙관론자"
5934,젊은이가 꾸미는 것을 비웃지 말라. 그는 그저 자신의 얼굴을 찾기 위해서 하나 하나 차례로 걸쳐 보고 있는 것이다.,로건 피어설 스미스,"꾸밈, 젊은이"
5935,입을 열어 모든 의혹을 없애는 것보다는 침묵을 지키며 바보로 보이는 것이 더 낫다.,에이브러햄 링컨,침묵
5936,계절 변화에 관심을 가지는 것이 절망적으로 봄과 사랑에 빠지는 것보다 더 행복한 마음의 상태이다.,조지 산타야나,계절
5937,나이가 들어도 사랑을 막을 수는 없어요. 하지만 사랑은 노화를 어느 정도 막을 수 있죠.,잔느 모로,"나이, 사랑, 노화"
5938,저렇게 작은 촛불이 어쩌면 이렇게 멀리까지 비쳐 올까! 험악한 세상에선 착한 행동도 꼭 저렇게 빛날 거야.,윌리엄 셰익스피어,"선행, 촛불"
5939,"신의 부름이 드높아지면서, 내가 짊어 진 책임감도 무겁다. 내 치하에 무엇인가가 부족할까 두렵다.",칭기즈칸,"지도자, 책임"
5940,단연코 인생이 주는 최고의 상은 할만한 가치가 있는 일에서 온 힘을 다할 기회이다.,시어도어 루즈벨트,"인생, 기회"
5941,당신의 고독을 통해 목숨도 바칠 만큼 위대한 삶의 목적을 찾을 수 있도록 해달라 기도하시오.,다그 함마르셸드,고독
5942,선물로 친구를 사지마라. 선물을 주지 않으면 그 친구의 사랑도 끝날 것이다.,토마스 풀러,"친구, 선물"
5943,"그는 종종 잠깐씩 침묵하곤 했는데, 그 때문에 그와 하는 대화가 더할 나위없이 즐거웠다.",시드니 스미스,"대화, 침묵"
5944,어떤 사람들은 럭셔리란 빈곤의 반대말이라고 생각한다. 아니다. 럭셔리는 천박함의 반대말이다.,가브리엘 코코 샤넬,럭셔리(luxury)
5945,"가족이란 아이뿐만 아니라 남자, 여자, 이따금 키우는 동물과 흔한 감기의 집합체이다.",오그든 내쉬,가족
5946,"세계를 움직이고자 했다면, 먼저 자기 자신을 움직여라.",소크라테스,"자기자신, 행동"
5947,"괴물과 싸우는 자는, 스스로 괴물이 되지 않도록 조심하라. 심연을 오래 들여다보게 되면, 심연도 또한, 너를 들여다보게 될지니.",프리드리히 니체,"괴물, 싸움, 심연"
5948,자신을 변화시키지 못하는 것이 바로 일상을 재미없게 만드는 원인다.,요로 다케시,"변화, 자기자신"
5949,"만일 내가 당신 속에다 어떤 상처를 남겨 놓았다면, 그것은 당신만의 상처가 아니고 저의 상처기도 합니다. 그러니까 그 일로 해서 나를 미워하진 말아 주세요.",무라카미 하루키,"상처, 마음"
5950,"기회가 사람을 버리기보다, 사람이 기회를 버리는 일이 더 많다.",프랑스 속담,기회
5951,사람은 무언가를 이루고 싶어 한다.,피터 드러커,"사람, 성취"
5952,"내내 고개를 숙이고 있다면, 결코 무지개를 발견하지 못하리라.",찰리 채플린,"인생살이, 적극적"
5953,인생은 모두 다음 두 가지로 이루어져 있다. 하고 싶지만 못한다. 할 수 있지만 하기 싫다.,괴테,인생
5954,예를 들어 성게젓이나 2의 제곱근 같은 문제라면 객관적으로 대처가 가능하면서도 자신의 수당이 걸리게 되면 정신분열증을 일으키는 사람이 무수히 많다.,조지 오웰,"수당, 이익"
5955,"장작은 다 타 재가 될 때까지, 다른 장작에 의해 불타고, 불은 다른 불씨를 얻어 일어난다. 사람도 타인에 의해 현명해 진다. 매사에 소극적이어서는 현명해 질 수가 없다.",북유럽 시 에다(Edda),"현명, 삶, 소극적"
5956,내일 죽을 것처럼 살아라. 영원히 살 것처럼 공부하라.,마하트마 간디,"삶, 공부"
5957,"아하하, 이봐, 젊은이. 자네는 완벽을 바라고 있군 그래.",괴테,"젊은이, 젊음"
5958,"당신에게 막대한 부가 있다는 것을 알고 있다. 하지만 생애를 마치기 전까지는, 행복한 인물이라 부를 수 있을지 아직은 말 못하겠다.",헤로도토스,"부자, 행복"
5959,"걱정 없는 세계에서 스트레스도 왜곡도 없는 생활을 상상하는 것은 즐거울지 모르지만, 그것은 게으름뱅이의 꿈에 지나지 않는다.",르네 듀보스,"스트레스, 게으름뱅이"
5960,시간을 잊을 수 있는 일을 찾아라.,사카이야 다이치,"일(work), 직업"
5961,"깨달음이라는 것은, 어떠한 경우에도 태연히 살아간다는 것이다.",마사오카 시키,깨달음
5962,교육의 주된 역할은 학습의욕과 학습 능력을 체득하게 하는데에 있다. 공부한 인간이 아니라 계속 공부해가는 인간을 길러내는데 있다.,에릭 호퍼,교육
5963,행복이란 행복을 찾는 것이다.,쥘 르나르,행복
5964,"돈으로 살 수 없는, 돌이킬 수 없는 시간이라는 것이 있지 않나.",트레이 힐만,시간
5965,인생에는 세 가지만 있으면 된다. 희망과 용기와 약간의 돈.,찰리 채플린 (Charlie Chaplin),인생
5966,제 아무리 현명한 사람도 자신의 등을 볼 수는 없다.,야마모토 슈고로,"맹점, 현자"
5967,행복으로 가는 길은 단 한 가지밖에 없다. 그것은 의지의 힘으로는 도저히 어쩔 수 없는 것을 갖고 고민하지 않는 것이다.,에픽테토스,행복
5968,존엄은 명예를 소유하는 데 있지 않고 명예를 누릴 자격을 유지하는 데 있다.,아리스토텔레스,"존엄, 명예"
5969,우정이 바탕이 되지 않는 모든 사랑은 모래 위에 지은 집과 같다.,엘라 휠러 윌콕스,"사랑, 우정"
5970,부모란 자녀에게 사소한 것을 주어 아이를 행복하게 하게끔 만들어진 존재다.,오그든 내쉬,부모
5971,"어진 사람은 어려움을 우선으로 삼고, 얻음을 다음으로 여기니라.",공자,"인생살이, 어려움, 획득, 성공"
5972,자연은 재산을 인간의 성격의 결과물로 만듦으로써 마술처럼 한 인간의 재산을 맞게 정해 준다.,랄프 왈도 에머슨,"재산, 인간, 자연"
5973,우리는 어떤 일을 착수하기 위해 영감을 기다리고 있어서는 안된다는 것을 배워야 한다. 언제나 행동이 영감을 낳는다. 영감이 행동을 낳는 일은 드물다.,프랭크 티볼트,"행동, 영감(inspiration)"
5974,"일찍 일어나고 일찍 자는 것은 남자를 건강하게 하고, 부자로 만들고, 현명하게 한다.",벤저민 프랭클린,"남자, 인생살이"
5975,"만약 누군가를 당신의 편으로 만들고 싶다면, 먼저 당신이 그의 진정한 친구임을 확신시켜라.",에이브러햄 링컨,"처세, 인간관계"
5976,"사람을 알기위해서는 어떻게 목표 달성에 실패하는가 보다는, 어떻게 목표 달성에 성공하는가를 살피라. 왜냐하면 실패할 때에는 자존심이 우리를 지탱해 주지만 성공할 때에는 자존심이 우리를 배반하기 때문이다.",찰스 칼렙 콜튼,"성공, 실패, 자존심, 사람평가"
5977,도서수집가가 된다는 것은 마약중독자와 구두쇠의 가장 나쁜 특징을 결합하는 것이다.,로버트슨 데이비스,"도서수집가, 책(book)"
5978,종파는 모두 다르다. 인간의 것이기에. 도덕은 어디에서나 같다. 신의 것이기에.,볼테르,도덕
5979,"예법은 비록 엄격한 스승이나, 훌륭한 명성을 지키고자 한다면 반드시 따라야 할 스승이다.",라와나 블랙웰,"예법, 명성"
5980,모든 사람은 자기 경험의 포로이다. 편견을 버릴 수 있는 사람은 아무도 없다 - 그저 편견의 존재를 인정할 뿐이다.,에드워드 R. 머로,"편견, 경험"
5981,타인의 신념을 존중하라. 그것이 그가 믿기 위해 가진 전부이다. 그의 마음은 당신이나 내 생각이 아니라 그의 생각을 위해 창조되었다.,헨리 S. 해스킨스,신념
5982,창조성은 실수를 할 수 있게 해준다. 어떤 실수를 간직할 지 아는 것이 예술이다.,스콧 애덤스,"창조성, 예술"
5983,사람들은 당신이 그 일을 얼마나 빨리했는가는 잊어도 얼마나 잘했는지는 기억한다.,하워드 뉴튼,일(job)
5984,"아는 것을 안다 하고, 모르는 것을 모른다 하는 것이 참으로 아는 것이다.",공자,"앎, 배움, 지식"
5985,글은 행위보다 오래 간다.,핀다로스,글(Words)
5986,"남편을 만나기 전, 사랑에 몇 번 발을 들여놓은 적은 있었지만 사랑에 빠진 적은 없었다.",리타 러드너,"사랑, 남편"
5987,"모든 진리, 단지 진실한 생각 뿐 아니라 진실한 얼굴, 진실한 그림이나 노래는 매우 아름답다.",마하트마 간디,"진리, 진실"
5988,개를 제외하고 책은 인간의 가장 좋은 친구다. 개에 푹 빠져 있으면 독서를 할 수 없다.,그루초 마르크스,"독서, 개(dog)"
5989,나는 대중이 그들이 원하는 바를 알고 있다고 믿지 않는다. 이것이 바로 내가 내 직업을 통해 내린 결론이다.,찰리 채플린,대중
5990,"새로운 것을 창조해내는 사람들은 드믈고, 그렇게 하지 못하는 사람들은 수없이 많다. 그러므로 후자가 더 강한 것이다.",가브리엘 코코 샤넬,창조
5991,"바보들 사이에서 현명해 보이려는 자는, 현명한 사람들 사이에서는 어리석어 보인다.",퀸틀리안,"바보, 현명"
5992,"타고난 능력 없이 교육만 받은 이보다, 교육 받지 않았으나 타고난 능력이 있는 이가 영예와 미덕을 얻은 경우가 더 흔하다.",키케로,"능력, 교육"
5993,오페라는 사람이 등에 칼을 찔리고도 피를 흘리지 않고 노래를 하는 것이다.,에드 가드너,오페라(Opera)
5994,좋은 습관은 법보다 확실하다.,에우리피데스,습관
5995,"질투는 언제나 타인과의 비교로 인해 생겨나며, 비교가 없는 곳에는 질투도 없다.",프랜시스 베이컨,"질투, 비교"
5996,인간은 본시 후회하도록 만들어져 있다.,후지사와 슈헤이,후회
5997,"추락할 때는 밑바닥까지 추락해봐야, 자기 자신을 발견하고 구해낼 수 있다.",사카구치 안고,"실패, 추락, 자기자신"
5998,"후회를 곱씹기보다, 오늘 즉시 결의하고, 일을 시작하고, 기술을 시도해볼 일이다. 시작하는데 나이가 이르고 늦고 따윈 문제가 아니다.",요시다 쇼인,시작
5999,진실을 말한다면 어떤 것도 기억할 필요가 없다.,마크 트웨인,"진실, 말(tell)"
6000,천국의 평화란 진정 정의롭고 자비로운 전쟁에서 칼을 드는 자들의 것이다.,윌리엄 셰익스피어,평화
6001,"아침은 왕처럼, 점심은 왕자처럼, 저녁은 거지처럼 먹어라.",아델 데이비스,식사
6002,"매월 말 조금씩 저금을 해 보면, 연말에 얼마나 적은 금액이 모였는지 알고 놀라게 될 것이다.",어니스트 해스킨스,저금
6003,"저는 미래가 어떻게 전개될지는 모르지만, 누가 그 미래를 결정하는지는 압니다.",호메로스,"미래, 자기자신"
6004,"등 뒤로 불어오는 바람, 눈 앞에 빛나는 태양, 옆에서 함께 가는 친구보다 더 좋은 것은 없으리.",에런 더글러스 트림블,친구
6005,"동이 트기 전에 일어나는 것은 좋다, 그런 습관들은 건강과 부와 지혜에 기여하기 때문이다.",아리스토텔레스,습관
6006,"공정한 수단으로 벌 수 있다면, 돈을 벌어라. 공정한 수단으로 벌 수 없다면, 그래도 어떻게든 벌어라.",호라티우스,돈(money)
6007,"교육은 문하생과 모방자, 기계적으로 일하는 사람만 길러낼 뿐 새로운 아이디어의 창시자나 창의적인 천재는 길러내지 못한다. 학교는 진보와 발전의 양성소가 아니라 전통과 변하지 않는 사고방식을 보존하는 온실이다.",루드비히 폰 미제스,"교육, 학교"
6008,과학에서 중요한 것은 새로운 사실을 얻는 것보다 새로운 사실을 생각해내는 법을 찾아내는 것이다.,윌리엄 브래그,과학
6009,"물고기는 미끼만 보고 낚시 바늘을 보지 못하며, 인간은 이익만 보고 위험을 보지 못한다.",중국 속담,"이익, 위험"
6010,명랑함이 얼마나 유익한지 안다면 성취의 수단으로 분노를 불러일으키는 소외된 사람들의 허위광고에서 벗어날 수 있을 것이다.,에릭 호퍼,명랑함
6011,이익을 추구하는 투기는 시장의 추진력이다.,루드비히 폰 미제스,"투기, 시장"
6012,변화는 인생에 필요할 뿐만 아니라 인생 그 자체다.,앨빈 토플러,"변화, 인생"
6013,여러분이 보다 보람찬 인생을 살려면 생각하는 방식을 바꿔야 합니다.,오프라 윈프리,"인생, 생각"
6014,과학이 지식을 제한할 수는 있으나 상상력을 제한해서는 안 된다.,버트런드 러셀,"과학, 상상력"
6015,내가 기억하는 한에는 성경에 지능을 칭찬하는 구절은 한 마디도 없었다.,버트런드 러셀,"성경, 지능"
6016,만약 당신의 아들딸에게 단 하나의 재능만을 줄 수 있다면 열정을 주어라.,브루스 바튼,"열정, 자녀"
6017,나는 가치 있는 삶이란 일종의 영적 여행과 의무감으로 정의된다고 믿는다.,힐러리 로댐 클린턴,삶
6018,상상의 산물은 평이한 언어로 표현해야 한다. 그것이 순수할수록 더 평이한 언어로 표현할 필요가 있다.,사무엘 테일러 콜리지,"글쓰기, 상상, 표현"
6019,포커스 그룹에 의지해서 제품을 만드는건 매우 어려운 일이다. 사람들은 대부분의 경우 만들어서 보여주기 전에는 자신이 원하는 것이 무엇인지 모른다.,스티브 잡스,"제품, 사람"
6020,자유는 더 높은 정치적 목적을 위한 수단이 아니다. 자유 그 자체가 가장 높은 정치적 목적이다.,액톤 경,"자유, 정치"
6021,한 사람에게서 모든 덕을 구하지 말라.,공자,덕(quality)
6022,우리는 아직 자연이 보여준 모습의 10만분의 1도 모른다.,알버트 아인슈타인,자연
6023,"세상은 느끼는 자에겐 비극이지만, 생각하는 자에겐 희극이다.",호레이스 월폴,"세상, 삶, 인생, 희극, 비극"
6024,항상 전문가의 말에 귀를 기울여라. 그들은 할 수 없는 것과 이유를 말할 것이다. 그러면 그것을 해라.,로버트 하인라인,전문가
6025,정직이란 단지 진실만을 말하는 것을 의미하지 않으며 전체적인 상황을 분명히 하는 것까지 포함된다. 다른 사람들이 결심할 수 있도록 필요한 모든 정보를 분명히 해야 한다.,리처드 파인만,정직
6026,사람에 대한 호기심은 줄이고 지식에 대한 호기심을 늘려라.,마리 퀴리,"호기심, 지식"
6027,많은 사람들은 생각하기보다는 죽고 싶어한다. 실제로 그들은 그렇게 한다.,– 버트런드 러셀,"생각, 죽음"
6028,인생은 확률의 학교이다.,월터 배지호트,"인생, 확률"
6029,성공한 사람과 그렇지 못한 사람의 차이는 힘이나 지식의 부족이 아니라 의지의 부족이다.,빈스 롬바르디,"성공자, 실패자, 의지력"
6030,그들이 당신에 대해 뭐라고 쓰든 전혀 신경쓰지 말라. 다만 그것을 자세히 평가하라.,앤디 워홀,"평가, 비평, 인생살이"
6031,"권력은 자신의 의지를 다른 이들의 목적과 결부시킬 수 있는 역량, 이성과 협동의 재능으로 이끌어 가는데 있다.",우드로 윌슨,권력
6032,"사랑이 없다면 결혼하지 말라. 다만, 당신이 사랑스런 것을 사랑하고 있는지 살펴보라.",윌리엄 펜,"결혼, 사랑"
6033,"나는 대학에 진학하면서 수학이나 철학을 전공할 계획을 세웠는데, 물론 두 계획은 결국 같은 것이었다.",프랭크 윌첵,"수학, 철학"
6034,네가 눈이 멀어 나의 아름다움을 볼 수 없다고 해서 그것이 존재하지 않는다는 것은 아니다.,마가릿 조,아름다움
6035,옳곧은 진술의 반대말은 거짓 진술이다. 하지만 심오한 진리의 반대말은 또 다른 심오한 진리일지도 모른다.,닐스 보어,진리
6036,"누군가는 성공하고 누군가는 실수할 수도 있다. 하지만 이런 차이에 너무 집착하지 말라. 타인과 함께, 타인을 통해서 협력할 때에야 비로소 위대한 것이 탄생한다.",생텍쥐페리,협력
6037,"청결과 정돈은 본능의 문제가 아니라 교육의 문제이며, 대부분의 중요한 것들과 마찬가지로 그에 대한 감각을 키워야 한다.",벤저민 디즈레일리,"청결, 정돈"
6038,과학자가 매일 아침 식사 전에 애지중지하는 가설을 버리는 것은 훌륭한 아침 운동이다. 그렇게 하면 젊음이 유지된다.,콘라트 로렌츠,과학자
6039,아주 솔직한 말이 나올 때는 보통 이를 소화할 몇 분간의 침묵이 필요하다.,파멜라 라이번,"정직, 침묵, 말(words)"
6040,"건설은 더디고 수년이 걸리는 힘든 작업이지만, 파괴는 단 하루의 무분별한 행동만으로 가능하다.",윈스턴 처칠,"건설, 파괴"
6041,"경영대학원은 단순한 행동보다 어렵고 복잡한 행동을 가르치지만, 단순한 행동이 보다 효과적이다.",워런 버핏,경영대학원
6042,"사랑은 눈 먼 것이 아니다. 더 적게 보는 게 아니라 더 많이 본다. 다만 더 많이 보이기 때문에, 더 적게 보려고 하는 것이다.",랍비 줄리어스 고든,사랑
6043,"하지만 그러므로 충고하건데 친구들이여, 남을 벌하려는 충동이 강한 자들 모두를 경계하라!",프리드리히 니체,충동
6044,저는 남자를 만날 때 '내 아이들이 매주 주말을 함께 보내도 되는 사람인가?' 하고 자문해봐요.,리타 러드너,"남자, 연애"
6045,정말 위대하고 감동적인 모든 것은 자유롭게 일하는 이들이 창조한다.,알버트 아인슈타인,"자유, 일(labor), 창조"
6046,환상을 잃으면 당신은 진리를 발견할 때보다 더 현명해진다.,루트비히 보른,환상
6047,자료를 확보하지 않고 이론화하는 것은 중대한 실수다.,아서 코난 도일 경,이론
6048,스스로 생각할 수 있는 능력을 가진 계층은 그렇지 못한 계층과 현격한 차이를 보이며 구분된다.,루드비히 폰 미제스,생각
6049,틀린 질문을 하면 그 대답을 고민할 필요가 없다.,헌터 S. 톰슨,질문
6050,우리는 사물을 있는 그대로 보지 않고 우리 방식대로 본다.,아나이스 닌 (Anais Nin),"관점, 편견"
6051,그들은 답을 모르는 것이 아니라 문제를 모른다.,G.K. 체스터 (G.K. Chesterton),문제
6052,성공하려면 성실하게 임하는 자세가 필요하다.,빈스 롬바르디,"성공, 성실"
6053,교육을 받는 것과 교육되는 것은 별개의 문제다.,리콴유,교육
6054,"인간에게 혀를 다스리는 일보다 어려운 일은 없고, 말보다 욕망을 더 잘 조절할 수 있다.",바뤼흐 스피노자,"말(words), 욕망"
6055,날으는 법을 가르칠 수 없는 자에게는 더 빨리 추락하는 법을 가르쳐라!,프리드리히 니체,"교육, 가르침"
6056,남이 말할 때 완전히 귀 기울여라. 대부분의 사람들은 남의 말을 경청하지 않는다.,어네스트 밀러 헤밍웨이,"경청, 대화"
6057,배우는 거부 당하기 위해 헤맨다. 거부 당하지 않으면 스스로를 거부한다.,찰리 채플린,배우
6058,"설명하지마라--친구라면 설명할 필요가 없고, 적이라면 어차피 당신을 믿으려 하지 않을 테니까.",엘버트 허버드,"설명, 친구, 적(enemy)"
6059,당신이 행한 봉사에 대해서는 말을 아끼라. 허나 당신이 받았던 호의들에 대해서는 이야기하라.,세네카,"봉사, 호의, 처세, 선행"
6060,내 사고방식으로는 배우의 길은 그가 요람에서 나오기 훨씬 전부터 정해진다.,제임스 딘,배우
6061,가르치고자 하는 사람 하나에 그다지 배우고 싶어하지 않는 사람이 약 서른 명 쯤 있다.,W. C. 셀러,학교
6062,예술은 손으로 만든 작품이 아니라 예술가가 경험한 감정의 전달이다.,레프 톨스토이,"예술, 예술가"
6063,천재와 광인 사이에는 아주 가느다란 선이 있다. 나는 이 선을 지웠다.,오스카 레반트,"천재, 광인"
6064,"나는 행운을 굳게 믿는 사람이며, 내가 더 열심히 일할 수록 더 많은 행운이 따르곤 한다.",토마스 제퍼슨,"행운, 노력"
6065,"나로 말할 것 같으면 긍정주의자인데, 다른 주의자가 돼 봤자 별 쓸모가 없는 것 같기 때문이다.",윈스턴 처칠,긍정주의자
6066,"자신의 실수를 비웃으면 삶이 길어질 것이요, 남의 실수를 비웃으면 삶이 단축될 것이다.",컬린 하이타워,"실수, 삶, 비웃음"
6067,"세상에는 빵 한 조각 때문에 죽어가는 사람도 많지만, 작은 사랑도 받지 못해서 죽어가는 사람은 더 많다.",마더 테레사,"사랑, 죽음"
6068,"기억력이 나쁜 것의 장점은 같은 일을 여러 번, 마치 처음처럼 즐길 수 있다는 것이다.",프리드리히 니체,기억력
6069,"진정한 기쁨은 편안함이나 부, 혹은 인간에 대한 찬양으로부터가 아니라 가치 있는 일을 하는데서 나온다.",윌프레드 그렌펠 경,기쁨
6070,사람들은 세상에 대한 자신의 견해가 본인의 인격을 드러낸다는 사실을 잘 알지 못하는 것 같다.,랄프 왈도 에머슨,"인격, 견해"
6071,정직은 서로의 피부 속까지 들어가서 살만큼 가까워질 수 있는 유일한 방법이다.,로이스 맥마스터 부욜,정직
6072,모든 것이 우리 머리 속에 있으니 머리를 잃어버리지 않는 게 좋겠다.,가브리엘 코코 샤넬,머리
6073,남에게 이기는 방법의 하나는 예의범절로 이기는 것이다.,조쉬 빌링스,"예의범절, 승리"
