,quote,author,categories
171,"하늘의 시는 땅의 이와 같지 않고, 땅의 이는 사람의 화와 같지 않다.",맹자,"하늘, 땅(land), 사람, 화합"
172,천지의 기운은 따뜻하면 낳아서 기르고 차면 시들어 죽게 한다. 그러므로 성질이 차가운 사람은 받아서 누리는 것도 또한 박할 것이니 오직 화기있고 마음이 따뜻한 사람이라야 그 복이 두터우며 그 은택이 또한 오래가는 것이다.,채근담,"마음, 사람, 성질, 인생살이"
173,마음이 맞으면 부처도 부러워한다.,한국 속담,"마음, 화합"
174,마음이 맞으면 삶은 도토리 한 알을 가지고도 허기를 면할 수 있다.,한국 속담,"화합, 인생살이, 마음, 허기, 배고픔"
175,백지장도 맞들면 낫다.,한국 속담,협동
176,집안이 화합하려면 베개 밑 송사는 듣지 않아야 한다.,한국 속담,"가정, 화합, 송사"
177,벌들은 협동하지 않고는 아무것도 얻지 못한다. 사람도 마찬가지다.,허버트,"협동, 벌(bee)"
178,합한 두 사람은 흩어진 열 사람보다 낫다.,W. NL. 영안,"협력, 화합"
179,개미 천 마리가 모이면 맷돌도 든다.,한국 속담,"협동, 협력, 단결, 개미"
180,"거짓말을 하지 말라. 부정직하기 때문이다. 모든 진실을 다 이야기하지 말라. 불필요하기 때문이다. 그렇다, 때와 장소에 따라서는 유해한 거짓말이 진실보다 좋을 때가 있다.",R. 애스컴,"거짓말, 진실"
181,하나의 거짓을 관철하기 위해서 우리는 또 다른 거짓말을 발견해야 한다.,스위프트,거짓말
182,진실은 빛과 같이 눈을 어둡게 한다. 거짓은 반대로 아름다운 저녁 노을처럼 모든 것을 멋지게 보이게 한다.,까뮈,"진실, 거짓"
183,정직을 잃은 자는 더 이상 잃을 것이 없다.,J. 릴리,정직
184,"정직한 사람은 모욕을 주는 결과가 되더라도 진실을 말하며, 잘난 체하는 자는 모욕을 주기 위해서 진실을 말한다.",W. 헤즐리트,"정직, 모욕, 진실"
185,너의 정직은 종교나 정책에 기초해서는 안된다. 너의 종교와 정책이 정직에 기초해야 한다.,존 러스킨,"정직, 종교, 정책"
186,"큰 재주를 가졌다면 근면은 그 재주를 더 낫게 해줄 것이며, 보통의 능력밖에 없다면 근면은 부족함을 보충해 줄 것이다.",J. 레이놀즈,"근면, 능력, 재주"
187,"사람은 부지런하면 생각하고, 생각하면 착한 마음이 일어나는데, 놀면 음탕하고, 음탕하면 착함을 잊으며, 착함을 잊으면 악한 마음이 생긴다.",소학,"근면, 마음, 선(good), 악(evil)"
188,미래는 일하는 사람의 것이다. 권력과 명예도 일하는 사람에게 주어진다. 게으름뱅이의 손에 누가 권력이나 명예를 안겨줄까?,힐티,"권력, 명예, 일(work), 미래"
